カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号
0001,丞,0,,,,00029,001
0002,乏,0,,,,00093,004
0003,亟,0,,,,00148,007
0004,享,0,,,,00156,008
0005,亭,0,,,,00160,008
0006,傷,0,,,,00473,009
0007,倉,0,,,,00365,009
0008,候,0,,,,00369,009
0009,儀,0,,,,00516,009
0010,侠,0,,,,00344,009
0011,僕,0,,,,00493,009
0012,側,0,,,,00429,009
0013,侵,0,,,,00317,009
0014,代,0,,,,00192,009
0015,依,0,,,,00301,009
0016,僉,0,,,,00483,009
0017,倪,0,,,,00390,009
0018,佻,0,,,,00275,009
0019,傍,0,,,,00449,009
0020,倍,0,,,,00368,009
0021,佐,0,,,,00246,009
0022,假,0,,,,00405,009
0023,作,0,,,,00256,009
0024,克,0,,,,00568,010
0025,全,0,,,,00589,011
0026,兼,0,,,,00613,012
0027,再,0,,,,00629,013
0028,冰,0,,,,00664,015
0029,函,0,,,,00725,017
0030,劇,0,,,,00838,018
0031,勅,0,,,,00879,019
0032,務,0,,,,00890,019
0033,勤,0,,,,00900,019
0034,勢,0,,,,00898,019
0035,募,0,,,,00895,019
0036,勞,0,,,,00894,019
0037,勇,0,,,,00881,019
0038,勿,0,,,,00919,020
0039,化,0,,,,00938,021
0040,匡,0,,,,00953,022
0041,匿,0,,,,00983,023
0042,卜,0,,,,01019,025
0043,卿,0,,,,01052,026
0044,印,0,,,,01034,026
0045,厚,0,,,,01068,027
0046,厥,0,,,,01079,027
0047,參,0,,,,01104,028
0048,叛,0,,,,01133,029
0049,吉,0,,,,01172,030
0050,問,0,,,,01369,030
0051,嘉,0,,,,01468,030
0052,哉,0,,,,01305,030
0053,咸,0,,,,01288,030
0054,口,0,,,,01141,030
0055,唐,0,,,,01342,030
0056,和,0,,,,01263,030
0057,喪,0,,,,01430,030
0058,唯,0,,,,01349,030
0059,嗤,0,,,,01453,030
0060,向,0,,,,01179,030
0061,告,0,,,,01219,030
0062,壘,0,,,,01890,032
0063,墮,0,,,,01863,032
0064,塗,0,,,,01818,032
0065,場,0,,,,01798,032
0066,壇,0,,,,01878,032
0067,01754,0,,,,01754,032
0068,塞,0,,,,01823,032
0069,壤,0,,,,01899,032
0070,墜,0,,,,01851,032
0071,墨,0,,,,01859,032
0072,増,0,,,,01853,032
0073,報,0,,,,01796,032
0074,埃,0,,,,01734,032
0075,塵,0,,,,01831,032
0076,堂,0,,,,01765,032
0077,壞,0,,,,01895,032
0078,壯,0,,,,01905,033
0079,奮,0,,,,02019,037
0080,奇,0,,,,01972,037
0081,奪,0,,,,02013,037
0082,奈,0,,,,01973,037
0083,姫,0,,,,02108,038
0084,女,0,,,,02022,038
0085,嫡,0,,,,02212,038
0086,嫁,0,,,,02196,038
0087,姓,0,,,,02077,038
0088,好,0,,,,02029,038
0089,嬰,0,,,,02248,038
0090,孛,0,,,,02271,039
0091,字,0,,,,02267,039
0092,孥,0,,,,02278,039
0093,孤,0,,,,02277,039
0094,孺,0,,,,02294,039
0095,孟,0,,,,02275,039
0096,宅,0,,,,02306,040
0097,寶,2,1,1,,02407,040
0098,實,0,,,,02390,040
0099,寒,0,,,,02371,040
0101,寸,0,,,,02413,041
0102,尹,0,,,,02470,044
0103,履,0,,,,02508,044
0104,尼,0,,,,02473,044
0105,屠,0,,,,02502,044
0106,居,0,,,,02482,044
0107,屋,0,,,,02488,044
0108,02635,0,,,,02635,040
0109,岸,0,,,,02564,046
0110,巨,0,,,,02776,048
0111,左,0,,,,02774,048
0112,巴,0,,,,02785,049
0113,幟,0,,,,02877,050
0114,帶,0,,,,02846,050
0115,02874,0,,,,02874,050
0116,02797,0,,,,02797,050
0117,幹,0,,,,02905,051
0118,并,0,,,,02902,051
0119,廩,0,,,,02997,053
0120,底,0,,,,02932,053
0121,強,0,,,,03066,057
0122,弱,0,,,,03064,057
0123,弭,0,,,,03060,057
0124,弔,0,,,,03043,057
0125,彼,0,,,,03124,060
0126,律,0,,,,03137,060
0127,徼,0,,,,03175,060
0128,御,0,,,,03153,060
0129,役,0,,,,03123,060
0130,徭,0,,,,03164,060
0131,慰,0,,,,03469,061
0132,慙,0,,,,03453,061
0134,怪,0,,,,03248,061
0135,怯,0,,,,03252,061
0136,性,0,,,,03244,061
0137,惶,0,,,,03376,061
0138,悔,0,,,,03320,061
0139,急,0,,,,03243,061
0140,懾,0,,,,03592,061
0141,恚,0,,,,03278,061
0142,忘,0,,,,03196,061
0143,快,0,,,,03208,061
0144,志,0,,,,03194,061
0145,恭,0,,,,03297,061
0146,恩,0,,,,03292,061
0147,恣,0,,,,03286,061
0148,惜,0,,,,03364,061
0149,慮,0,,,,03466,061
0150,愁,0,,,,03387,061
0151,戒,0,,,,03612,062
0152,戚,0,,,,03618,062
0153,我,0,,,,03611,062
0154,拘,0,,,,03757,064
0155,掘,0,,,,03865,064
0156,措,0,,,,03882,064
0157,掾,0,,,,03888,064
0158,拜,1,3,,,03761,064
0159,擾,0,,,,04142,064
0160,擇,0,,,,04085,064
0161,攀,0,,,,04146,064
0162,捷,0,,,,03844,064
0163,指,0,,,,03783,064
0164,捐,0,,,,03825,064
0165,挑,0,,,,03793,064
0166,推,0,,,,03880,064
0167,撫,0,,,,04066,064
0168,抗,0,,,,03710,064
0169,整,0,,,,04303,066
0170,斂,0,,,,04309,066
0171,敞,0,,,,04273,066
0172,放,0,,,,04233,066
0173,改,0,,,,04228,066
0174,效,0,,,,04251,066
0175,斤,0,,,,04362,069
