カード番号,文字,字体数,用例数1,用例数2,部首番号,大字典番号,
0001,九,0,,,005,00107,
0002,保,0,,,009,00342,
0003,八,0,,,012,00594,
0004,千,0,,,024,00987,
0005,呉,0,,,030,01207,
0006,墨,0,,,032,01859,
0007,婢,0,,,038,02151,
0008,孫,0,,,039,02282,
0009,守,0,,,040,02308,
0010,宇,0,,,040,02307,
0011,宮,0,,,040,02342,
0012,寸,0,,,041,02413,
0013,己,0,,,049,02782,
0014,帶,0,,,050,02846,
0015,年,0,,,051,02900,
0016,庭,0,,,053,02952,
0017,床,0,,,053,02924,
0018,御,0,,,060,03153,
0019,成,0,,,062,03610,
0020,摘,0,,,064,03993,
0021,日,0,,,072,04446,
0022,木,0,,,075,04707,
0023,椅,0,,,075,05071,
0024,枝,0,,,075,04807,
0025,水,0,,,085,05952,
0026,牟,0,,,093,07074,
0027,留,0,,,102,07508,
0028,直,0,,,109,07799,
0029,祁,0,,,113,08104,
0030,米,0,,,119,08635,
0031,續,0,,,120,09061,
0032,老,0,,,125,09250,
0033,耳,0,,,128,09290,
0034,蘇,0,,,140,10231,
0035,褌,0,,,145,10740,
0036,西,0,,,146,10820,
0037,角,0,,,148,10860,
0038,豐,0,,,151,11261,
0039,野,0,,,166,12374,
0040,金,0,,,167,12380,
0041,長,0,,,168,12698,
0042,造,0,,,162,12004,
0043,逆,0,,,162,11986,
0044,道,0,,,162,12051,
0045,高,0,,,189,13940,
0046,龍,0,,,212,14876,
0047,一,1,4,,001,00001,
0048,三,1,6,,001,00007,
0049,上,1,2,,001,00008,
0050,下,1,20,,001,00009,
0051,世,1,3,,001,00025,
0052,中,1,6,,002,00051,
0053-0054,主,1,57,,003,00070,
0055,乎,1,2,,004,00092,
0056,久,1,6,,004,00085,
0057,事,1,2,,006,00128,
0058,二,1,2,,007,00129,
0059,五,1,6,,007,00135,
0060,井,1,3,,007,00136,
0061,亡,1,2,,008,00150,
0062,人,1,31,,009,00168,
0063,伴,1,2,,009,00230,
0064,倍,1,3,,009,00368,
0065,依,1,4,,009,00301,
0066,佐,1,9,,009,00246,
0067,伊,1,6,,009,00213,
0068,伎,1,7,,009,00216,
0069,兒,2,31,7,010,00574,
0070,兄,1,4,,010,00561,
0071,六,1,6,,012,00597,
0072,刀,1,21,,018,00729,
0073,利,1,11,,018,00767,
0074,刑,1,11,,018,00746,
0075,勝,1,3,,019,00893,
0076,加,1,5,,019,00858,
0077,十,1,10,,024,00985,
0078,廿,1,2,,024,00988,
0079,卅,1,2,,024,00989,
0080,同,1,3,,030,01174,
0081,古,1,11,,030,01142,
0082,名,1,2,,030,01175,
0083,呂,1,44,,030,01222,
0084,君,1,6,,030,01185,
0085,吉,1,2,,030,01172,
0086,咋,1,4,,030,01262,
0087,善,1,2,,030,01395,
0088,各,1,2,,030,01168,
0089,01200,1,12,,030,01200,
0090,國,1,5,,031,01639,
0091,堅,1,2,,032,01767,
0092,多,1,4,,036,01938,
0093,夜,1,2,,036,01939,
0094,大,1,15,,037,01946,
0095,奈,1,14,,037,01973,
0096,嫡,1,22,,038,02212,
0097,姑,1,2,,038,02075,
0098,姉,1,8,,038,02068,
0099,妹,1,15,,038,02059,
0100,妻,1,18,,038,02061,
0101,妾,1,4,,038,02062,
0102,奴,1,4,,038,02024,
0103,姪,1,4,,038,02094,
0104,子,1,31,,039,02262,
0105,安,1,14,,040,02309,
0106,寄,1,17,,040,02358,
0107,小,1,26,,042,02439,
0108,尼,1,2,,044,02473,
0109,居,1,2,,044,02482,
0110,屋,1,3,,044,02488,
0111,島,1,7,,046,02594,
0112,工,1,2,,048,02773,
0113,布,1,2,,050,02800,
0114,市,1,2,,050,02799,
0115,廣,1,12,,053,02993,
0116,建,1,6,,054,03006,
0117,彌,1,12,,057,03084,
0118,得,1,2,,060,03145,
0119,志,1,6,,061,03194,
0120,意,1,6,,061,03395,
0121,忍,1,3,,061,03184,
0122-0123,戸,1,68,,063,03640,
0124,手,1,3,,064,03659,
0125,支,1,2,,065,04216,
0126,政,1,12,,066,04235,
0127,方,1,3,,070,04385,
0128,族,1,5,,070,04412,
0129,書,1,2,,073,04657,
0130,根,1,4,,075,04922,
0131,椋,1,2,,075,05078,
0132,栗,1,5,,075,04890,
0133,東,1,2,,075,04765,
0134,栖,1,5,,075,04888,
0135-0136,次,1,67,,076,05558,
0137,止,1,5,,077,05641,
0138,母,1,12,,080,05834,
0139,比,1,13,,081,05841,
0140,汚,1,2,,085,05979,
0141,波,1,2,,085,06086,
0142,海,1,2,,085,06182,
0143,漢,1,4,,085,06499,
0144,爪,1,2,,087,07025,
0145,爾,1,2,,089,07043,
0146,物,1,15,,093,07080,
0147,犬,1,2,,094,07110,
0148,猪,1,3,,094,07192,
0149,甥,1,13,,100,07466,
0150,田,1,23,,102,07478,
0151,當,1,2,,102,07535,
0152,百,1,6,,106,07710,
0153,益,1,2,,108,07759,
0154,目,1,2,,109,07790,
0155,知,1,9,,111,07941,
0156,石,1,6,,112,07954,
0157,稻,1,10,,115,08256,
0158,積,1,6,,115,08269,
0159,秦,1,3,,115,08204,
0160,穗,1,4,,115,08273,
0161,等,1,4,,118,08426,
0162,第,1,7,,118,08412,
0163,粳,1,2,,119,08678,
0164,縣,1,2,,120,08972,
0165,羊,1,3,,123,09150,
0166,自,1,17,,132,09602,
0167,良,1,4,,138,09714,
0168,藥,1,2,,140,10204,
0169,若,1,8,,140,09788,
0170,荒,1,2,,140,09851,
0171,蟲,1,3,,142,10549,
0172,衣,1,2,,145,10637,
0173,見,1,2,,147,10831,
0174-0176,賣,1,141,,154,11398,
0177,赤,1,2,,155,11445,
0178,足,1,10,,157,11495,
0179,身,1,4,,158,11715,
0180,速,1,2,,162,12003,
0181-0182,部,1,60,,163,12176,
0183,都,1,12,,163,12188,
0184,邑,1,4,,163,12123,
0185,酒,1,5,,164,12266,
0186,阿,1,8,,170,12830,
0187,須,1,5,,181,13304,
0188,鳥,1,4,,196,14361,
0189,鹽,1,4,,197,14620,
0190-0191,麻,1,58,,200,14681,
0192,黒,1,5,,203,14709,
0193,黨,1,3,,203,14730,
0194,々,〓,12,,部外,00066,
