カード番号,文字,字体数,用例数1,用例数2,用例数3,用例数4,大字典,部首,枚数
0001,了,0 ,,,,,00125,006,1 
0002,事,0 ,,,,,00128,006,1 
0003,仰,0 ,,,,,00199,009,1 
0004,伴,0 ,,,,,00230,009,1 
0005,伺,0 ,,,,,00233,009,1 
0006,伽,0 ,,,,,00236,009,1 
0007,倒,0 ,,,,,00373,009,1 
0008,値,0 ,,,,,00385,009,1 
0009,共,0 ,,,,,00599,012,1 
0010,刳,0 ,,,,,00773,018,1 
0011,可,0 ,,,,,01154,030,1 
0012,向,0 ,,,,,01179,030,1 
0013,吹,0 ,,,,,01212,030,1 
0014,喜,0 ,,,,,01412,030,1 
0015,噎,0 ,,,,,01506,030,1 
0016,囓,0 ,,,,,01601,030,1 
0017,四,0 ,,,,,01607,031,1 
0018,垂,0 ,,,,,01710,032,1 
0019,央,0 ,,,,,01954,037,1 
0020,妨,0 ,,,,,02051,038,1 
0021,娶,0 ,,,,,02134,038,1 
0022,婚,0 ,,,,,02149,038,1 
0023,室,0 ,,,,,02332,040,1 
0024,巾,0 ,,,,,02796,050,1 
0025,并,0 ,,,,,02902,051,1 
0026,幻,0 ,,,,,02907,052,1 
0027,床,0 ,,,,,02924,053,1 
0028,底,0 ,,,,,02932,053,1 
0029,後,0 ,,,,,03138,060,1 
0030,復,0 ,,,,,03159,060,1 
0031,志,0 ,,,,,03194,061,1 
0032,念,0 ,,,,,03214,061,1 
0033,恣,0 ,,,,,03286,061,1 
0034,招,0 ,,,,,03758,064,1 
0035,攝,0 ,,,,,04192,064,1 
0036,放,0 ,,,,,04233,066,1 
0037,教,0 ,,,,,04261,066,1 
0038,整,0 ,,,,,04303,066,1 
0039,新,0 ,,,,,04376,069,1 
0040,服,0 ,,,,,04679,074,1 
0041,杖,0 ,,,,,04743,075,1 
0042,梨,0 ,,,,,04993,075,1 
0043,檀,0 ,,,,,05391,075,1 
0044,歡,0 ,,,,,05639,076,1 
0045,河,0 ,,,,,06045,085,1 
0046,洛,0 ,,,,,06123,085,1 
0047,浮,0 ,,,,,06175,085,1 
0048,滿,0 ,,,,,06476,085,1 
0049,然,0 ,,,,,06885,086,1 
0050,06974,0 ,,,,,06974,086,1 
0051,猴,0 ,,,,,07200,094,1 
0052,07252,0 ,,,,,07252,094,1 
0053,現,0 ,,,,,07304,096,1 
0054,瓜,0 ,,,,,07403,097,1 
0055,留,0 ,,,,,07508,102,1 
