カード番号,文字,字体数,用例数1,用例数2,用例数3,用例数4,大字典,部首,枚数
0001,世,0 ,1 ,,,,00025,001,1 
0002,伽,0 ,1 ,,,,00236,009,1 
0003,但,0 ,1 ,,,,00240,009,1 
0004,入,0 ,1 ,,,,00582,011,1 
0005,具,0 ,1 ,,,,00606,012,1 
0006,可,0 ,1 ,,,,01154,030,1 
0007,各,0 ,1 ,,,,01168,030,1 
0008,喩,0 ,1 ,,,,01421,030,1 
0009,在,0 ,1 ,,,,01659,032,1 
0010,大,0 ,1 ,,,,01946,037,1 
0011,定,0 ,1 ,,,,02325,040,1 
0012,已,0 ,1 ,,,,02783,049,1 
0013,廣,0 ,1 ,,,,02993,053,1 
0014,性,0 ,1 ,,,,03244,061,1 
0015,或,0 ,1 ,,,,03617,062,1 
0016,本,0 ,1 ,,,,04713,075,1 
0017,梵,0 ,1 ,,,,05010,075,1 
0018,次,0 ,1 ,,,,05558,076,1 
0019,正,0 ,1 ,,,,05643,077,1 
0020,歿,0 ,1 ,,,,05692,078,1 
0021,漸,0 ,1 ,,,,06517,085,1 
0022,特,0 ,1 ,,,,07086,093,1 
0023,獨,0 ,1 ,,,,07230,094,1 
0024,現,0 ,1 ,,,,07304,096,1 
0025,耶,0 ,1 ,,,,09292,128,1 
0026,聞,0 ,1 ,,,,09315,128,1 
0027,聲,0 ,1 ,,,,09328,128,1 
0028,行,0 ,1 ,,,,10614,144,1 
0029,補,0 ,1 ,,,,10714,145,1 
0030,覺,0 ,1 ,,,,10856,147,1 
0031,角,0 ,1 ,,,,10860,148,1 
0032,誰,0 ,1 ,,,,11028,149,1 
0033,證,0 ,1 ,,,,11155,149,1 
0034,身,0 ,1 ,,,,11715,158,1 
0035,部,0 ,1 ,,,,12176,163,1 
0036,除,0 ,1 ,,,,12855,170,1 
0037,麟,0 ,1 ,,,,14655,198,1 
0038,一,1 ,43 ,,,,00001,001,1 
0039,七,1 ,37 ,,,,00004,001,1 
0040-0042,三,1 ,131 ,,,,00007,001,3 
0043,上,1 ,20 ,,,,00008,001,1 
0044,下,1 ,4 ,,,,00009,001,1 
0045-0046,不,1 ,63 ,,,,00013,001,2 
0047,中,1 ,5 ,,,,00051,002,1 
0048,九,1 ,17 ,,,,00107,005,1 
0049-0051,二,1 ,132 ,,,,00129,007,3 
0052,五,1 ,34 ,,,,00135,007,1 
0053,他,1 ,2 ,,,,00183,009,1 
0054,令,1 ,2 ,,,,00193,009,1 
0055-0058,以,1 ,169 ,,,,00194,009,4 
0059,位,1 ,2 ,,,,00243,009,1 
0060,住,1 ,4 ,,,,00245,009,1 
0061,何,1 ,20 ,,,,00250,009,1 
0062,佛,1 ,2 ,,,,00255,009,1 
0063-0064,作,1 ,60 ,,,,00256,009,2 
0065,來,2 ,1 ,1 ,,,00282,009,1 
0066-0068,依,1 ,139 ,,,,00301,009,3 
0069,八,1 ,41 ,,,,00594,012,1 
0070,六,1 ,21 ,,,,00597,012,1 
0071,分,1 ,16 ,,,,00734,018,1 
0072,切,1 ,2 ,,,,00735,018,1 
0073,前,1 ,20 ,,,,00794,018,1 
0074-0075,十,1 ,100 ,,,,00985,024,2 
0076,即,1 ,46 ,,,,01049,026,1 
0077,及,1 ,22 ,,,,01111,029,1 
0078,受,1 ,2 ,,,,01128,029,1 
0079,向,1 ,7 ,,,,01179,030,1 
0080-0081,味,1 ,85 ,,,,01242,030,2 
0082,唯,1 ,2 ,,,,01349,030,1 
0083,問,1 ,17 ,,,,01369,030,1 
0084,喜,1 ,8 ,,,,01412,030,1 
0085-0088,四,1 ,192 ,,,,01607,031,4 
0089,因,1 ,40 ,,,,01611,031,1 
0090,増,1 ,2 ,,,,01853,032,1 
0091,多,1 ,4 ,,,,01938,036,1 
0092,如,1 ,7 ,,,,02031,038,1 
0093,學,1 ,6 ,,,,02293,039,1 
0094,宿,1 ,4 ,,,,02355,040,1 
0095,少,1 ,19 ,,,,02440,042,1 
0096,就,1 ,13 ,,,,02464,043,1 
0097,幾,1 ,2 ,,,,02915,052,1 
0098-0099,彼,1 ,60 ,,,,03124,060,2 
0100,後,1 ,17 ,,,,03138,060,1 
0101,得,1 ,32 ,,,,03145,060,1 
0102,03157,1 ,36 ,,,,03157,060,1 
0103,心,1 ,2 ,,,,03179,061,1 
0104,念,1 ,4 ,,,,03214,061,1 
0105,想,1 ,49 ,,,,03373,061,1 
0106,慧,1 ,2 ,,,,03462,061,1 
0107-0108,應,1 ,92 ,,,,03550,061,2 
0109,成,1 ,13 ,,,,03610,062,1 
0110,捨,1 ,27 ,,,,03835,064,1 
0111,故,1 ,3 ,,,,04243,066,1 
0112,時,1 ,7 ,,,,04523,072,1 
0113,智,1 ,41 ,,,,04569,072,1 
0114-0118,有,1 ,237 ,,,,04674,074,5 
0119,未,1 ,2 ,,,,04711,075,1 
0120,果,1 ,6 ,,,,04806,075,1 
0121,染,1 ,2 ,,,,04848,075,1 
0122,極,1 ,8 ,,,,05161,075,1 
0123,欲,1 ,4 ,,,,05580,076,1 
0124-0125,此,1 ,99 ,,,,05644,077,2 
0126,法,1 ,9 ,,,,06074,085,1 
0127-0130,淨,1 ,178 ,,,,06272,085,4 
0131-0134,漏,1 ,157 ,,,,06487,085,4 
0135,漢,1 ,5 ,,,,06499,085,1 
0136-0145,無,1 ,500 ,,,,06872,086,10 
0146-0149,爲,1 ,168 ,,,,07032,087,4 
0150,爾,1 ,6 ,,,,07043,089,1 
0151,生,1 ,6 ,,,,07461,100,1 
0152,界,1 ,2 ,,,,07501,102,1 
0153,皆,1 ,8 ,,,,07717,106,1 
0154,盡,1 ,22 ,,,,07779,108,1 
0155-0156,相,1 ,83 ,,,,07801,109,2 
0157,空,1 ,27 ,,,,08296,116,1 
0158-0159,第,1 ,83 ,,,,08412,118,2 
0160,答,1 ,17 ,,,,08437,118,1 
0161-0163,縁,1 ,132 ,,,,08924,120,3 
0164,羅,1 ,6 ,,,,09144,122,1 
0165,者,1 ,46 ,,,,09255,125,1 
0166-0167,而,1 ,71 ,,,,09264,126,2 
0168,脩,1 ,3 ,,,,09462,130,1 
0169,自,1 ,21 ,,,,09602,132,1 
0170-0172,至,1 ,145 ,,,,09610,133,3 
0173,若,1 ,22 ,,,,09788,140,1 
0174-0177,處,1 ,157 ,,,,10270,141,4 
0178,設,1 ,10 ,,,,10928,149,1 
0179,詞,1 ,9 ,,,,10967,149,1 
0180,説,1 ,2 ,,,,11025,149,1 
0181,諍,1 ,27 ,,,,11051,149,1 
0182,諸,1 ,2 ,,,,11085,149,1 
0183-0185,謂,1 ,126 ,,,,11095,149,3 
0186,識,1 ,16 ,,,,11171,149,1 
0187,起,1 ,2 ,,,,11461,156,1 
0188,退,1 ,2 ,,,,11982,162,1 
0189-0190,通,1 ,67 ,,,,12000,162,2 
0191,還,1 ,2 ,,,,12108,162,1 
0192,邪,1 ,23 ,,,,12139,163,1 
0193,量,1 ,36 ,,,,12376,166,1 
0194,阿,1 ,5 ,,,,12830,170,1 
0195,離,1 ,3 ,,,,13001,172,1 
0196-0198,非,1 ,148 ,,,,13104,175,3 
0199,順,1 ,2 ,,,,13302,181,1 
