統合ID,文字,カード番号,字体数,例数,部首,,,,,,
00069,丹,0001,0,1,003,,,,,,
00118,乾,0002,0,1,005,,,,,,
00104,乙,0003,0,1,005,,,,,,
00405,假,0004,0,1,009,,,,,,
00176,介,0005,0,1,009,,,,,,
00258,佞,0006,0,1,009,,,,,,
00493,僕,0007,0,1,009,,,,,,
00455,備,0008,0,1,009,,,,,,
00173,仆,0009,0,1,009,,,,,,
00182,仕,0010,0,1,009,,,,,,
00206,任,0011,0,1,009,,,,,,
00244,低,0012,0,1,009,,,,,,
00230,伴,0013,0,1,009,,,,,,
00233,伺,0014,0,1,009,,,,,,
00382,借,0015,0,1,009,,,,,,
00236,伽,0016,0,1,009,,,,,,
00368,倍,0017,0,1,009,,,,,,
00345,信,0018,0,1,009,,,,,,
00238,佃,0019,0,1,009,,,,,,
00267,佳,0020,0,1,009,,,,,,
00360,俾,0021,0,1,009,,,,,,
00391,倫,0022,0,1,009,,,,,,
00325,俄,0023,0,1,009,,,,,,
00350,倶,0024,0,1,009,,,,,,
00471,債,0025,0,1,009,,,,,,
00264,00264,0026,0,1,009,,,,,,
00417,停,0027,0,1,009,,,,,,
00450,傑,0028,0,1,009,,,,,,
00616,冀,0029,0,1,012,,,,,,
00636,冒,0030,0,1,013,,,,,,
00696,凝,0031,0,1,015,,,,,,
00718,凶,0032,0,1,017,,,,,,
00735,切,0033,0,1,018,,,,,,
00736,刈,0034,0,1,018,,,,,,
00791,削,0035,0,1,018,,,,,,
00857,功,0036,0,1,019,,,,,,
00863,助,0037,0,1,019,,,,,,
00918,勾,0038,0,1,020,,,,,,
00932,匐,0039,0,1,020,,,,,,
00930,匍,0040,0,1,020,,,,,,
01004,卒,0041,0,1,024,,,,,,
01058,厄,0042,0,1,027,,,,,,
01068,厚,0043,0,1,027,,,,,,
01466,嘆,0044,0,1,030,,,,,,
01595,嚢,0045,0,1,030,,,,,,
01373,啓,0046,0,1,030,,,,,,
01143,句,0047,0,1,030,,,,,,
01189,吠,0048,0,1,030,,,,,,
01236,呪,0049,0,1,030,,,,,,
01288,咸,0050,0,1,030,,,,,,
01235,周,0051,0,1,030,,,,,,
01451,嗟,0052,0,1,030,,,,,,
01387,啼,0053,0,1,030,,,,,,
01584,嚼,0054,0,1,030,,,,,,
01532,01532,0055,0,1,030,,,,,,
01740,城,0056,0,1,032,,,,,,
01851,墜,0057,0,1,032,,,,,,
01863,墮,0058,0,1,032,,,,,,
01839,境,0059,0,1,032,,,,,,
01727,垣,0060,0,1,032,,,,,,
01899,壤,0061,0,1,032,,,,,,
01779,01779,0062,0,1,032,,,,,,
01908,壷,0063,0,1,033,,,,,,
01913,壽,0064,0,1,033,,,,,,
01903,士,0065,0,1,033,,,,,,
01934,外,0066,0,1,036,,,,,,
01961,夷,0067,0,1,037,,,,,,
01994,奘,0068,0,1,037,,,,,,
01981,奏,0069,0,1,037,,,,,,
01986,奔,0070,0,1,037,,,,,,
01968,奄,0071,0,1,037,,,,,,
02040,02040,0072,0,1,038,,,,,,
02077,姓,0073,0,1,038,,,,,,
02177,媚,0074,0,1,038,,,,,,
02093,姨,0075,0,1,038,,,,,,
02045,妙,0076,0,1,038,,,,,,
02110,娑,0077,0,1,038,,,,,,
02142,婆,0078,0,1,038,,,,,,
02098,妍,0079,0,1,038,,,,,,
02178,媛,0080,0,1,038,,,,,,
02029,好,0081,0,1,038,,,,,,
02090,姥,0082,0,1,038,,,,,,
02248,嬰,0083,0,1,038,,,,,,
02035,妊,0084,0,1,038,,,,,,
02268,存,0085,0,1,039,,,,,,
02293,學,0086,0,1,039,,,,,,
02397,寛,0087,0,1,040,,,,,,
02392,寧,0088,0,1,040,,,,,,
02307,宇,0089,0,1,040,,,,,,
02322,宗,0090,0,1,040,,,,,,
02383,察,0091,0,1,040,,,,,,
02358,寄,0092,0,1,040,,,,,,
02395,審,0093,0,1,040,,,,,,
02436,導,0094,0,1,041,,,,,,
02446,尚,0095,0,1,042,,,,,,
02469,尸,0096,0,1,044,,,,,,
02471,尺,0097,0,1,044,,,,,,
02472,尻,0098,0,1,044,,,,,,
02499,屏,0099,0,1,044,,,,,,
02485,屈,0100,0,1,044,,,,,,
